Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),test_set
Orthogonal Matching Pursuit,2.1594,6.6111,2.5665,-0.0081,0.6578,0.6941,0.273,"(6, 12, 13)"
Decision Tree Regressor,2.1911,8.6955,2.9176,-0.3183,0.7494,0.6357,0.286,"(6, 12, 13)"
Elastic Net,2.2093,6.747,2.5932,-0.0288,0.6614,0.7062,0.275,"(6, 12, 13)"
Lasso Regression,2.2142,6.7481,2.5938,-0.0285,0.6626,0.7089,0.282,"(6, 12, 13)"
Lasso Least Angle Regression,2.2142,6.7481,2.5938,-0.0285,0.6626,0.7089,0.289,"(6, 12, 13)"
Dummy Regressor,2.2448,6.9444,2.6312,-0.0559,0.671,0.7226,0.276,"(6, 12, 13)"
K Neighbors Regressor,2.2948,7.8244,2.7896,-0.194,0.6947,0.727,0.272,"(6, 12, 13)"
Passive Aggressive Regressor,4.6935,35.2543,5.8241,-4.5375,1.0111,1.7037,0.273,"(6, 12, 13)"
Least Angle Regression,11804681.3457,2754819029475907.5,16857300.081,-405592514594039.25,8.3669,4214882.0247,0.287,"(6, 12, 13)"
Extra Trees Regressor,1.6672,4.6485,2.1325,0.3574,0.5599,0.4366,0.332,"(6, 12, 15)"
Light Gradient Boosting Machine,1.8307,5.5034,2.3262,0.2394,0.5948,0.4729,0.29,"(6, 12, 15)"
Random Forest Regressor,1.8589,5.4334,2.3089,0.2533,0.597,0.4954,0.399,"(6, 12, 15)"
Gradient Boosting Regressor,1.9373,5.8694,2.4072,0.1816,0.6065,0.5205,0.346,"(6, 12, 15)"
Linear Regression,1.9902,6.5493,2.5409,0.0805,0.614,0.5419,0.273,"(6, 12, 15)"
Ridge Regression,1.9954,6.3333,2.5021,0.1149,0.6281,0.5466,0.28,"(6, 12, 15)"
AdaBoost Regressor,2.0397,6.2946,2.4943,0.1285,0.6252,0.5498,0.31,"(6, 12, 15)"
Huber Regressor,2.0754,6.8054,2.5971,0.0418,0.6399,0.5894,0.279,"(6, 12, 15)"
Bayesian Ridge,2.1408,7.0928,2.6521,0.0049,0.6578,0.6057,0.277,"(6, 12, 15)"
Orthogonal Matching Pursuit,2.1422,6.9282,2.6241,0.026,0.6532,0.6078,0.277,"(6, 12, 15)"
Elastic Net,2.1966,7.262,2.6824,-0.0161,0.6624,0.631,0.281,"(6, 12, 15)"
Lasso Regression,2.2032,7.2583,2.682,-0.0137,0.6629,0.6343,0.281,"(6, 12, 15)"
Lasso Least Angle Regression,2.2032,7.2583,2.682,-0.0137,0.6629,0.6343,0.275,"(6, 12, 15)"
Dummy Regressor,2.286,7.4997,2.7263,-0.0352,0.6731,0.6657,0.278,"(6, 12, 15)"
K Neighbors Regressor,2.3593,8.3957,2.8838,-0.1665,0.6966,0.692,0.28,"(6, 12, 15)"
Decision Tree Regressor,2.5171,10.5996,3.219,-0.4694,0.8111,0.6029,0.281,"(6, 12, 15)"
Passive Aggressive Regressor,4.6173,34.6333,5.638,-4.1728,1.1711,1.336,0.28,"(6, 12, 15)"
Least Angle Regression,2020449966.6161,6.8268128523813945e+19,2612940348.4545,-8.351027433293478e+18,7.492,625369583.4574,0.28,"(6, 12, 15)"
Extra Trees Regressor,1.6223,4.3123,2.0705,0.3236,0.5601,0.4435,0.342,"(6, 12, 16)"
Light Gradient Boosting Machine,1.7572,5.1241,2.252,0.1883,0.5844,0.461,0.305,"(6, 12, 16)"
Random Forest Regressor,1.7997,4.9596,2.2218,0.2264,0.5873,0.4879,0.411,"(6, 12, 16)"
Gradient Boosting Regressor,1.8189,5.2428,2.2796,0.1799,0.5915,0.4801,0.353,"(6, 12, 16)"
Linear Regression,1.8911,5.7946,2.3852,0.066,0.6046,0.511,0.28,"(6, 12, 16)"
Ridge Regression,1.9138,5.5722,2.3555,0.1253,0.6117,0.5379,0.28,"(6, 12, 16)"
Huber Regressor,1.9705,5.844,2.4146,0.0861,0.6142,0.5582,0.288,"(6, 12, 16)"
Orthogonal Matching Pursuit,1.9764,5.7452,2.3925,0.1081,0.6141,0.5704,0.278,"(6, 12, 16)"
AdaBoost Regressor,1.9912,5.9183,2.4278,0.0829,0.6209,0.5376,0.315,"(6, 12, 16)"
Bayesian Ridge,1.9945,5.7912,2.4031,0.1014,0.6213,0.5712,0.281,"(6, 12, 16)"
Elastic Net,2.1135,6.3247,2.5097,0.0246,0.6415,0.6147,0.284,"(6, 12, 16)"
Lasso Regression,2.1186,6.3543,2.5155,0.0204,0.6429,0.6175,0.279,"(6, 12, 16)"
Lasso Least Angle Regression,2.1186,6.3543,2.5155,0.0204,0.6429,0.6175,0.289,"(6, 12, 16)"
Dummy Regressor,2.1682,6.6976,2.5814,-0.0299,0.652,0.6429,0.283,"(6, 12, 16)"
K Neighbors Regressor,2.2756,7.6427,2.7546,-0.188,0.6846,0.6441,0.274,"(6, 12, 16)"
Decision Tree Regressor,2.2882,9.0806,2.9903,-0.4679,0.7497,0.627,0.293,"(6, 12, 16)"
Passive Aggressive Regressor,3.5789,23.2132,4.4308,-2.5112,0.8399,1.0791,0.281,"(6, 12, 16)"
Least Angle Regression,44130.1971,18284017084.5349,56987.5489,-3285591140.6037,5.0508,15259.1959,0.288,"(6, 12, 16)"
Extra Trees Regressor,1.833,5.1921,2.2705,0.2522,0.5948,0.5136,0.345,"(6, 12, 17)"
Light Gradient Boosting Machine,1.9672,5.9919,2.4384,0.1357,0.6193,0.5684,0.313,"(6, 12, 17)"
Random Forest Regressor,1.988,5.9093,2.423,0.1553,0.6232,0.5636,0.407,"(6, 12, 17)"
Linear Regression,2.0448,6.3881,2.5168,0.0735,0.6214,0.582,0.284,"(6, 12, 17)"
Gradient Boosting Regressor,2.0555,6.447,2.5332,0.0762,0.6355,0.5768,0.36,"(6, 12, 17)"
Ridge Regression,2.158,6.9866,2.6367,-0.0092,0.6567,0.6313,0.289,"(6, 12, 17)"
AdaBoost Regressor,2.1657,6.5849,2.5609,0.0562,0.6406,0.6173,0.318,"(6, 12, 17)"
Huber Regressor,2.2675,7.4119,2.7138,-0.071,0.6695,0.6717,0.289,"(6, 12, 17)"
Orthogonal Matching Pursuit,2.2999,7.405,2.7149,-0.063,0.6696,0.6833,0.277,"(6, 12, 17)"
Elastic Net,2.3204,7.3835,2.7113,-0.0525,0.6722,0.6984,0.284,"(6, 12, 17)"
Lasso Regression,2.3218,7.4042,2.7154,-0.0552,0.6735,0.6998,0.298,"(6, 12, 17)"
Lasso Least Angle Regression,2.3218,7.4042,2.7154,-0.0552,0.6735,0.6998,0.286,"(6, 12, 17)"
Dummy Regressor,2.3235,7.4523,2.7247,-0.0609,0.6774,0.7008,0.281,"(6, 12, 17)"
Bayesian Ridge,2.3402,7.591,2.7498,-0.0845,0.6801,0.7044,0.283,"(6, 12, 17)"
K Neighbors Regressor,2.4185,8.5206,2.9093,-0.221,0.7023,0.7081,0.28,"(6, 12, 17)"
Decision Tree Regressor,2.5411,11.3137,3.3183,-0.6167,0.8232,0.6939,0.284,"(6, 12, 17)"
Passive Aggressive Regressor,3.5973,21.5989,4.5255,-2.0334,0.8746,1.2265,0.28,"(6, 12, 17)"
Least Angle Regression,113209.8989,89574698525.0879,144849.1043,-13519802320.9818,5.6952,35136.7167,0.287,"(6, 12, 17)"
Extra Trees Regressor,1.5373,3.8438,1.9513,0.3741,0.5289,0.4066,0.355,"(6, 13, 15)"
Light Gradient Boosting Machine,1.5995,4.0899,2.0147,0.3357,0.5308,0.433,0.303,"(6, 13, 15)"
Random Forest Regressor,1.6997,4.5729,2.1278,0.2631,0.5634,0.4654,0.386,"(6, 13, 15)"
Gradient Boosting Regressor,1.7578,4.9382,2.2034,0.2114,0.5672,0.4705,0.365,"(6, 13, 15)"
Linear Regression,1.853,5.613,2.3558,0.0918,0.5936,0.5139,0.285,"(6, 13, 15)"
Ridge Regression,1.9021,5.7996,2.3959,0.0727,0.6038,0.5135,0.289,"(6, 13, 15)"
AdaBoost Regressor,1.9051,5.4436,2.3168,0.1278,0.5833,0.4928,0.325,"(6, 13, 15)"
Huber Regressor,1.9548,6.0369,2.4454,0.0309,0.6167,0.5451,0.294,"(6, 13, 15)"
Orthogonal Matching Pursuit,2.0011,6.0845,2.455,0.0275,0.6212,0.5618,0.281,"(6, 13, 15)"
Elastic Net,2.029,6.2178,2.4811,0.009,0.6219,0.5707,0.284,"(6, 13, 15)"
Lasso Regression,2.0327,6.2187,2.4819,0.0088,0.6222,0.5713,0.284,"(6, 13, 15)"
Lasso Least Angle Regression,2.0327,6.2187,2.4819,0.0088,0.6222,0.5713,0.293,"(6, 13, 15)"
Bayesian Ridge,2.0332,6.2349,2.4846,0.0066,0.6228,0.5721,0.29,"(6, 13, 15)"
Dummy Regressor,2.0737,6.3613,2.511,-0.014,0.6289,0.5881,0.296,"(6, 13, 15)"
Decision Tree Regressor,2.1012,8.1325,2.8123,-0.3745,0.736,0.6174,0.29,"(6, 13, 15)"
K Neighbors Regressor,2.1617,6.7964,2.5942,-0.0851,0.6379,0.5876,0.281,"(6, 13, 15)"
Passive Aggressive Regressor,4.08,28.838,5.038,-3.61,0.9505,1.2421,0.29,"(6, 13, 15)"
Least Angle Regression,5417325.1482,487879782778584.2,7125433.7363,-94121653440074.14,5.6784,1675830.1339,0.285,"(6, 13, 15)"
Extra Trees Regressor,1.4647,3.5024,1.8603,0.334,0.5036,0.4395,0.348,"(6, 13, 16)"
Random Forest Regressor,1.5927,3.919,1.972,0.254,0.5265,0.4802,0.438,"(6, 13, 16)"
Gradient Boosting Regressor,1.6317,4.121,2.0236,0.2088,0.5326,0.4728,0.359,"(6, 13, 16)"
Light Gradient Boosting Machine,1.645,4.2778,2.0598,0.174,0.5423,0.4872,0.31,"(6, 13, 16)"
AdaBoost Regressor,1.737,4.4602,2.1062,0.1551,0.5533,0.5127,0.322,"(6, 13, 16)"
Ridge Regression,1.8121,5.1465,2.2522,0.0391,0.5834,0.5528,0.284,"(6, 13, 16)"
Huber Regressor,1.8348,5.22,2.2666,0.023,0.5833,0.5688,0.295,"(6, 13, 16)"
Linear Regression,1.8663,5.5366,2.333,-0.0438,0.5889,0.5694,0.278,"(6, 13, 16)"
Orthogonal Matching Pursuit,1.8854,5.2865,2.2864,0.0051,0.5908,0.5852,0.286,"(6, 13, 16)"
Bayesian Ridge,1.9136,5.4623,2.3264,-0.023,0.5978,0.5929,0.286,"(6, 13, 16)"
Elastic Net,1.9353,5.4424,2.3225,-0.0185,0.5945,0.6016,0.286,"(6, 13, 16)"
Lasso Regression,1.9359,5.4668,2.3271,-0.0209,0.5954,0.6028,0.283,"(6, 13, 16)"
Lasso Least Angle Regression,1.9359,5.4668,2.3271,-0.0209,0.5954,0.6028,0.289,"(6, 13, 16)"
Dummy Regressor,1.9529,5.6842,2.3677,-0.0478,0.6003,0.6081,0.291,"(6, 13, 16)"
K Neighbors Regressor,2.0636,6.4404,2.5298,-0.2244,0.6298,0.6214,0.281,"(6, 13, 16)"
Decision Tree Regressor,2.1027,7.8424,2.7608,-0.517,0.7154,0.6613,0.289,"(6, 13, 16)"
Passive Aggressive Regressor,2.5941,11.2776,3.2918,-1.3712,0.6961,0.7545,0.285,"(6, 13, 16)"
Least Angle Regression,1.2219239448492826e+112,2.086760144143746e+225,1.4445622673127476e+112,-2.8359010168361314e+224,31.6735,3.590461329355257e+111,0.285,"(6, 13, 16)"
Extra Trees Regressor,1.5594,3.984,1.9892,0.3534,0.5109,0.4804,0.344,"(6, 13, 17)"
Random Forest Regressor,1.691,4.4989,2.1127,0.2763,0.5409,0.5114,0.419,"(6, 13, 17)"
Light Gradient Boosting Machine,1.7151,4.7408,2.1728,0.2265,0.5522,0.5363,0.307,"(6, 13, 17)"
Gradient Boosting Regressor,1.7318,4.8844,2.2061,0.2086,0.5526,0.512,0.364,"(6, 13, 17)"
Linear Regression,1.8908,5.6614,2.3631,0.082,0.5953,0.5683,0.294,"(6, 13, 17)"
Ridge Regression,1.9484,5.8403,2.4089,0.0587,0.6052,0.599,0.29,"(6, 13, 17)"
Huber Regressor,1.9678,5.9747,2.4376,0.0347,0.6092,0.6043,0.291,"(6, 13, 17)"
AdaBoost Regressor,1.9773,5.6282,2.3656,0.0931,0.5935,0.5937,0.319,"(6, 13, 17)"
Decision Tree Regressor,2.004,7.4836,2.6974,-0.1928,0.6904,0.6142,0.295,"(6, 13, 17)"
Bayesian Ridge,2.0497,6.1644,2.473,0.0112,0.6229,0.6376,0.278,"(6, 13, 17)"
Orthogonal Matching Pursuit,2.0714,6.1935,2.4804,0.0034,0.6264,0.6382,0.291,"(6, 13, 17)"
Elastic Net,2.1014,6.3141,2.5031,-0.0127,0.6281,0.6548,0.296,"(6, 13, 17)"
Lasso Regression,2.1022,6.3217,2.5048,-0.0138,0.6293,0.6546,0.293,"(6, 13, 17)"
Lasso Least Angle Regression,2.1022,6.3217,2.5048,-0.0138,0.6293,0.6546,0.294,"(6, 13, 17)"
Dummy Regressor,2.1284,6.5162,2.5447,-0.0469,0.6377,0.657,0.299,"(6, 13, 17)"
K Neighbors Regressor,2.2227,7.3504,2.695,-0.1746,0.6587,0.676,0.288,"(6, 13, 17)"
Passive Aggressive Regressor,3.8605,23.4655,4.6753,-2.8838,0.8911,1.247,0.29,"(6, 13, 17)"
Least Angle Regression,5013578.4834,358509028234036.94,6497410.263,-54544438782898.57,5.8029,1345145.2443,0.308,"(6, 13, 17)"
Extra Trees Regressor,1.4285,3.3442,1.8142,0.4248,0.4945,0.3826,0.345,"(6, 15, 16)"
Light Gradient Boosting Machine,1.5186,3.7865,1.924,0.3475,0.511,0.3899,0.312,"(6, 15, 16)"
Random Forest Regressor,1.554,3.9395,1.9725,0.3195,0.5236,0.4238,0.401,"(6, 15, 16)"
Gradient Boosting Regressor,1.5617,4.0136,1.9748,0.3139,0.5159,0.4047,0.364,"(6, 15, 16)"
AdaBoost Regressor,1.6541,4.1308,2.0182,0.2876,0.527,0.4419,0.33,"(6, 15, 16)"
Ridge Regression,1.687,4.6271,2.1349,0.2011,0.5501,0.4661,0.297,"(6, 15, 16)"
Linear Regression,1.6984,4.7662,2.1577,0.1673,0.5425,0.4488,0.295,"(6, 15, 16)"
Orthogonal Matching Pursuit,1.7804,5.0045,2.2178,0.1413,0.5596,0.515,0.293,"(6, 15, 16)"
Bayesian Ridge,1.7815,4.9481,2.2102,0.1466,0.5635,0.5081,0.293,"(6, 15, 16)"
Huber Regressor,1.7975,5.0884,2.2416,0.1228,0.5667,0.5166,0.292,"(6, 15, 16)"
Elastic Net,1.8862,5.4732,2.3274,0.0535,0.5886,0.5426,0.29,"(6, 15, 16)"
Lasso Regression,1.8867,5.5029,2.334,0.048,0.5898,0.5421,0.289,"(6, 15, 16)"
Lasso Least Angle Regression,1.8867,5.5029,2.3339,0.048,0.5898,0.5421,0.291,"(6, 15, 16)"
Dummy Regressor,1.982,6.0758,2.4548,-0.0533,0.6074,0.5777,0.3,"(6, 15, 16)"
K Neighbors Regressor,2.0295,6.3815,2.5097,-0.1147,0.6154,0.5963,0.307,"(6, 15, 16)"
Decision Tree Regressor,2.3717,9.5626,3.0761,-0.722,0.7822,0.6638,0.292,"(6, 15, 16)"
Passive Aggressive Regressor,2.8156,13.9528,3.4935,-1.4729,0.7205,0.792,0.284,"(6, 15, 16)"
Least Angle Regression,52010268.7214,2.196949591620618e+16,66724240.6932,-4236811204782276.0,8.1592,16751107.1994,0.287,"(6, 15, 16)"
Extra Trees Regressor,1.6097,4.2735,2.0564,0.2479,0.5211,0.4048,0.365,"(6, 15, 17)"
Light Gradient Boosting Machine,1.6976,4.6767,2.1473,0.1705,0.5253,0.4221,0.316,"(6, 15, 17)"
Random Forest Regressor,1.7287,4.7083,2.1559,0.1746,0.5396,0.4514,0.428,"(6, 15, 17)"
Gradient Boosting Regressor,1.7485,4.92,2.2081,0.132,0.5426,0.4493,0.366,"(6, 15, 17)"
AdaBoost Regressor,1.8209,5.1561,2.2586,0.096,0.5553,0.4627,0.336,"(6, 15, 17)"
Ridge Regression,1.8498,5.3811,2.3028,0.0619,0.5648,0.4988,0.304,"(6, 15, 17)"
Linear Regression,1.8793,5.3954,2.3121,0.0317,0.5516,0.4991,0.297,"(6, 15, 17)"
Huber Regressor,1.9178,5.8551,2.4053,-0.0207,0.5831,0.5196,0.296,"(6, 15, 17)"
Orthogonal Matching Pursuit,1.9656,6.0575,2.4466,-0.0549,0.5911,0.5464,0.291,"(6, 15, 17)"
Elastic Net,1.9723,6.0567,2.4459,-0.0475,0.5929,0.5489,0.295,"(6, 15, 17)"
Lasso Regression,1.9966,6.1616,2.4663,-0.0626,0.597,0.555,0.301,"(6, 15, 17)"
Lasso Least Angle Regression,1.9966,6.1616,2.4663,-0.0626,0.597,0.555,0.295,"(6, 15, 17)"
Bayesian Ridge,2.016,6.3181,2.4994,-0.0936,0.6011,0.5632,0.301,"(6, 15, 17)"
Dummy Regressor,2.0172,6.1799,2.4708,-0.0658,0.5989,0.5617,0.297,"(6, 15, 17)"
K Neighbors Regressor,2.1855,7.4053,2.7044,-0.2936,0.6333,0.599,0.302,"(6, 15, 17)"
Decision Tree Regressor,2.2365,8.9984,2.991,-0.6046,0.7435,0.5999,0.301,"(6, 15, 17)"
Passive Aggressive Regressor,3.9883,30.0626,4.8435,-4.8354,0.9215,1.1186,0.298,"(6, 15, 17)"
Least Angle Regression,3564756.8623,194029957054917.25,4627145.9742,-33372223945595.14,7.0375,1020182.1566,0.295,"(6, 15, 17)"
Extra Trees Regressor,1.5825,4.0472,2.0081,0.3035,0.5225,0.4295,0.371,"(6, 16, 17)"
Random Forest Regressor,1.7166,4.5419,2.1278,0.2207,0.5456,0.4649,0.444,"(6, 16, 17)"
Gradient Boosting Regressor,1.7414,4.7877,2.1797,0.168,0.5432,0.4734,0.376,"(6, 16, 17)"
Light Gradient Boosting Machine,1.7478,4.8272,2.1855,0.1718,0.5517,0.4739,0.325,"(6, 16, 17)"
Linear Regression,1.8446,5.5352,2.3379,0.0545,0.587,0.508,0.302,"(6, 16, 17)"
AdaBoost Regressor,1.8676,5.1394,2.2638,0.1252,0.5696,0.4859,0.337,"(6, 16, 17)"
Ridge Regression,1.8978,5.6404,2.3674,0.0302,0.598,0.5196,0.295,"(6, 16, 17)"
Huber Regressor,1.9815,5.9041,2.4219,-0.0116,0.6087,0.5516,0.302,"(6, 16, 17)"
Orthogonal Matching Pursuit,2.0287,6.1536,2.4748,-0.0482,0.6143,0.5722,0.326,"(6, 16, 17)"
Elastic Net,2.032,6.1005,2.4653,-0.032,0.6137,0.5726,0.301,"(6, 16, 17)"
Lasso Regression,2.0321,6.1181,2.4687,-0.0342,0.6142,0.5739,0.304,"(6, 16, 17)"
Lasso Least Angle Regression,2.0321,6.1181,2.4687,-0.0342,0.6142,0.5739,0.301,"(6, 16, 17)"
Bayesian Ridge,2.0394,6.1174,2.4681,-0.0364,0.6166,0.565,0.301,"(6, 16, 17)"
Dummy Regressor,2.0545,6.3114,2.5076,-0.0671,0.6208,0.5835,0.303,"(6, 16, 17)"
Decision Tree Regressor,2.1771,8.501,2.9034,-0.4655,0.7057,0.5779,0.301,"(6, 16, 17)"
K Neighbors Regressor,2.226,7.4216,2.7139,-0.2632,0.6555,0.6053,0.297,"(6, 16, 17)"
Passive Aggressive Regressor,3.2998,18.0759,4.0648,-2.0688,0.8468,0.9507,0.31,"(6, 16, 17)"
Least Angle Regression,1.8361498571636285e+229,inf,inf,-inf,58.0772,7.307999392851426e+228,0.301,"(6, 16, 17)"
Extra Trees Regressor,1.7783,4.9273,2.1973,0.2781,0.5887,0.5,0.357,"(9, 12, 13)"
Light Gradient Boosting Machine,1.8505,5.4943,2.3249,0.1919,0.6129,0.5151,0.325,"(9, 12, 13)"
Linear Regression,1.864,5.5379,2.339,0.1765,0.5837,0.5538,0.304,"(9, 12, 13)"
Random Forest Regressor,1.893,5.4003,2.3038,0.2081,0.6098,0.535,0.412,"(9, 12, 13)"
Gradient Boosting Regressor,1.8942,5.5478,2.334,0.1855,0.616,0.5391,0.365,"(9, 12, 13)"
AdaBoost Regressor,2.0539,6.3901,2.507,0.0639,0.651,0.568,0.333,"(9, 12, 13)"
Ridge Regression,2.1036,6.4853,2.5339,0.035,0.6527,0.6096,0.301,"(9, 12, 13)"
Huber Regressor,2.1918,7.0517,2.6423,-0.0354,0.6693,0.6456,0.304,"(9, 12, 13)"
Orthogonal Matching Pursuit,2.2034,6.9465,2.6243,-0.0201,0.673,0.652,0.299,"(9, 12, 13)"
Elastic Net,2.2863,7.237,2.6794,-0.0613,0.6847,0.6809,0.298,"(9, 12, 13)"
Bayesian Ridge,2.2884,7.3214,2.6964,-0.0754,0.6889,0.6751,0.307,"(9, 12, 13)"
Lasso Regression,2.2931,7.2588,2.6844,-0.0655,0.6862,0.6846,0.3,"(9, 12, 13)"
Lasso Least Angle Regression,2.2931,7.2588,2.6844,-0.0655,0.6862,0.6846,0.305,"(9, 12, 13)"
Dummy Regressor,2.3217,7.4469,2.721,-0.0974,0.6924,0.7039,0.305,"(9, 12, 13)"
Decision Tree Regressor,2.406,10.1101,3.1483,-0.4876,0.7751,0.7159,0.306,"(9, 12, 13)"
K Neighbors Regressor,2.4332,8.5767,2.9204,-0.2718,0.7235,0.7224,0.299,"(9, 12, 13)"
Passive Aggressive Regressor,3.2614,17.647,4.04,-1.6549,0.8845,0.8371,0.299,"(9, 12, 13)"
Least Angle Regression,894190.2317,7065081676506.967,1161876.9982,-1103528938009.9604,8.2049,165141.7226,0.307,"(9, 12, 13)"
Extra Trees Regressor,1.8398,5.5301,2.3372,0.271,0.6083,0.4538,0.353,"(9, 12, 15)"
Light Gradient Boosting Machine,1.9151,5.9898,2.428,0.2138,0.6256,0.4905,0.312,"(9, 12, 15)"
Gradient Boosting Regressor,1.916,5.6672,2.3546,0.2587,0.6004,0.5027,0.368,"(9, 12, 15)"
Random Forest Regressor,1.9554,5.8908,2.4073,0.2325,0.623,0.4904,0.405,"(9, 12, 15)"
AdaBoost Regressor,2.0513,6.2596,2.4912,0.1779,0.6458,0.5292,0.345,"(9, 12, 15)"
Linear Regression,2.0677,6.5096,2.5336,0.133,0.6457,0.5566,0.301,"(9, 12, 15)"
Ridge Regression,2.1046,7.0241,2.6381,0.0714,0.6526,0.5425,0.315,"(9, 12, 15)"
Huber Regressor,2.2213,7.7676,2.7749,-0.0257,0.6789,0.5695,0.315,"(9, 12, 15)"
Orthogonal Matching Pursuit,2.3014,7.8162,2.7843,-0.0248,0.6858,0.598,0.306,"(9, 12, 15)"
Lasso Least Angle Regression,2.3429,7.8741,2.7999,-0.0359,0.6896,0.6204,0.305,"(9, 12, 15)"
Lasso Regression,2.3429,7.8741,2.7999,-0.0359,0.6896,0.6204,0.31,"(9, 12, 15)"
Elastic Net,2.3469,7.922,2.8084,-0.0424,0.6906,0.6211,0.309,"(9, 12, 15)"
Bayesian Ridge,2.3526,7.9713,2.8175,-0.0506,0.6915,0.6244,0.305,"(9, 12, 15)"
Dummy Regressor,2.3765,8.0215,2.8234,-0.0479,0.6909,0.6327,0.308,"(9, 12, 15)"
K Neighbors Regressor,2.59,9.6366,3.0936,-0.2611,0.7331,0.6821,0.305,"(9, 12, 15)"
Decision Tree Regressor,2.6358,12.1358,3.4385,-0.6126,0.8288,0.7439,0.306,"(9, 12, 15)"
Passive Aggressive Regressor,2.931,13.0992,3.59,-0.8046,0.8112,0.7138,0.307,"(9, 12, 15)"
Least Angle Regression,1.2239976185680347e+121,2.181753997961587e+243,1.4770761652540424e+121,-2.7803887100160664e+242,35.606,4.857553881240071e+120,0.312,"(9, 12, 15)"
Extra Trees Regressor,1.7543,5.1114,2.2355,0.2759,0.5585,0.4627,0.354,"(9, 12, 16)"
Gradient Boosting Regressor,1.8112,5.5453,2.3324,0.2068,0.5757,0.4714,0.372,"(9, 12, 16)"
Random Forest Regressor,1.8405,5.4167,2.3046,0.2315,0.5813,0.4853,0.419,"(9, 12, 16)"
Light Gradient Boosting Machine,1.902,5.766,2.3737,0.1759,0.5897,0.5156,0.332,"(9, 12, 16)"
Linear Regression,1.9636,6.0267,2.4213,0.1599,0.6013,0.564,0.316,"(9, 12, 16)"
AdaBoost Regressor,1.9639,6.0107,2.4289,0.1434,0.6118,0.5272,0.335,"(9, 12, 16)"
Ridge Regression,2.036,6.4151,2.4998,0.0834,0.6195,0.5785,0.308,"(9, 12, 16)"
Orthogonal Matching Pursuit,2.0984,6.5824,2.5463,0.0571,0.6344,0.6009,0.319,"(9, 12, 16)"
Huber Regressor,2.0992,6.6138,2.5396,0.0523,0.6269,0.5841,0.308,"(9, 12, 16)"
Bayesian Ridge,2.1797,6.8808,2.5976,0.0213,0.6448,0.6156,0.315,"(9, 12, 16)"
Elastic Net,2.2197,7.0102,2.6228,0.0087,0.6548,0.644,0.307,"(9, 12, 16)"
Lasso Regression,2.2263,7.0279,2.6283,0.0048,0.6566,0.6465,0.309,"(9, 12, 16)"
Lasso Least Angle Regression,2.2263,7.0279,2.6283,0.0048,0.6566,0.6465,0.307,"(9, 12, 16)"
Dummy Regressor,2.2862,7.34,2.6975,-0.0509,0.6696,0.6723,0.314,"(9, 12, 16)"
Decision Tree Regressor,2.3443,9.9275,3.1112,-0.4942,0.757,0.6202,0.306,"(9, 12, 16)"
K Neighbors Regressor,2.3497,7.8709,2.7845,-0.1399,0.6729,0.6856,0.314,"(9, 12, 16)"
Passive Aggressive Regressor,3.3247,18.6091,4.1059,-1.6558,0.8642,0.9689,0.318,"(9, 12, 16)"
Least Angle Regression,9328.119,809254450.9003,11236.14,-170680474.1146,4.1347,2933.1614,0.311,"(9, 12, 16)"
Linear Regression,1.9588,6.215,2.467,0.1913,0.5916,0.5578,0.312,"(9, 12, 17)"
Extra Trees Regressor,1.9704,6.0295,2.4426,0.2234,0.5972,0.5613,0.363,"(9, 12, 17)"
Light Gradient Boosting Machine,2.064,6.6552,2.5579,0.1468,0.6264,0.581,0.333,"(9, 12, 17)"
Gradient Boosting Regressor,2.0897,6.8905,2.6033,0.1161,0.6306,0.6123,0.372,"(9, 12, 17)"
Random Forest Regressor,2.1074,6.609,2.5585,0.1473,0.6273,0.6195,0.438,"(9, 12, 17)"
Ridge Regression,2.2356,7.3903,2.7041,0.0448,0.6589,0.6628,0.308,"(9, 12, 17)"
AdaBoost Regressor,2.2562,7.3031,2.6845,0.0622,0.6513,0.6602,0.344,"(9, 12, 17)"
Huber Regressor,2.3205,7.8599,2.79,-0.0163,0.6708,0.6919,0.316,"(9, 12, 17)"
Orthogonal Matching Pursuit,2.3465,7.9056,2.8,-0.0214,0.6766,0.7095,0.307,"(9, 12, 17)"
Elastic Net,2.3696,7.7437,2.7739,-0.0028,0.6746,0.7224,0.308,"(9, 12, 17)"
Lasso Regression,2.3746,7.7642,2.7778,-0.0055,0.6759,0.7248,0.311,"(9, 12, 17)"
Lasso Least Angle Regression,2.3746,7.7642,2.7778,-0.0055,0.6759,0.7248,0.312,"(9, 12, 17)"
Dummy Regressor,2.3839,7.8347,2.7919,-0.0158,0.6809,0.7298,0.315,"(9, 12, 17)"
Bayesian Ridge,2.3875,7.8745,2.7993,-0.0219,0.6812,0.7243,0.312,"(9, 12, 17)"
K Neighbors Regressor,2.4632,8.8008,2.9573,-0.1468,0.7044,0.7491,0.31,"(9, 12, 17)"
Decision Tree Regressor,2.5677,11.7935,3.409,-0.5421,0.8324,0.7376,0.308,"(9, 12, 17)"
Passive Aggressive Regressor,4.0882,29.2649,5.08,-2.6969,0.9251,1.329,0.31,"(9, 12, 17)"
Least Angle Regression,1305778.6903,12836185806783.432,1634299.1748,-1476300317540.8816,6.8662,347115.1985,0.317,"(9, 12, 17)"
Extra Trees Regressor,1.5758,4.2254,2.034,0.3444,0.5361,0.4174,0.374,"(9, 13, 15)"
