Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects,Sensor,Combinations
Lasso Regression,1.9643,5.6534,2.3755,-0.0042,0.7122,0.7268,0.185,"(5, 9, 16)",upperarm,3
Elastic Net,1.9643,5.6534,2.3755,-0.0042,0.7122,0.7268,0.206,"(5, 9, 16)",upperarm,3
Lasso Least Angle Regression,1.9643,5.6534,2.3755,-0.0042,0.7122,0.7268,0.202,"(5, 9, 16)",upperarm,3
Dummy Regressor,1.9643,5.6534,2.3755,-0.0042,0.7122,0.7268,0.209,"(5, 9, 16)",upperarm,3
Passive Aggressive Regressor,2.1223,7.1662,2.6653,-0.2676,0.7708,0.8126,0.211,"(5, 9, 16)",upperarm,3
Least Angle Regression,4.7329,45.227,6.1887,-6.6929,1.0454,2.0906,0.195,"(5, 9, 16)",upperarm,3
Extra Trees Regressor,1.4637,3.6762,1.9125,0.4108,0.5754,0.4756,0.261,"(5, 9, 17)",upperarm,3
Random Forest Regressor,1.5069,3.8769,1.9637,0.3792,0.5897,0.4846,0.364,"(5, 9, 17)",upperarm,3
Light Gradient Boosting Machine,1.5112,3.9927,1.992,0.3599,0.5874,0.5094,0.228,"(5, 9, 17)",upperarm,3
Gradient Boosting Regressor,1.676,4.569,2.1304,0.2694,0.6357,0.5464,0.285,"(5, 9, 17)",upperarm,3
Decision Tree Regressor,1.9214,7.9396,2.8112,-0.2784,0.7918,0.675,0.207,"(5, 9, 17)",upperarm,3
Linear Regression,1.9359,5.6203,2.3634,0.1024,0.6933,0.6557,0.203,"(5, 9, 17)",upperarm,3
Bayesian Ridge,1.9692,5.7376,2.3883,0.0837,0.7027,0.6677,0.236,"(5, 9, 17)",upperarm,3
Huber Regressor,1.9983,6.1653,2.4758,0.0157,0.704,0.6524,0.226,"(5, 9, 17)",upperarm,3
Ridge Regression,2.0081,5.8729,2.4169,0.0615,0.7129,0.6966,0.209,"(5, 9, 17)",upperarm,3
K Neighbors Regressor,2.0279,6.4398,2.5305,-0.0312,0.7246,0.7201,0.208,"(5, 9, 17)",upperarm,3
AdaBoost Regressor,2.0351,5.7227,2.3892,0.08,0.7333,0.7871,0.207,"(5, 9, 17)",upperarm,3
Dummy Regressor,2.094,6.2776,2.5008,-0.0054,0.7342,0.7524,0.216,"(5, 9, 17)",upperarm,3
Lasso Regression,2.0944,6.279,2.5011,-0.0056,0.7342,0.7526,0.192,"(5, 9, 17)",upperarm,3
Lasso Least Angle Regression,2.0944,6.279,2.5011,-0.0056,0.7342,0.7526,0.182,"(5, 9, 17)",upperarm,3
Elastic Net,2.0973,6.2868,2.5026,-0.0069,0.7344,0.7545,0.211,"(5, 9, 17)",upperarm,3
Orthogonal Matching Pursuit,2.099,6.2866,2.5025,-0.0067,0.7337,0.7548,0.222,"(5, 9, 17)",upperarm,3
Passive Aggressive Regressor,2.1787,7.7501,2.7605,-0.2497,0.7543,0.7025,0.203,"(5, 9, 17)",upperarm,3
Least Angle Regression,3.5869,25.0034,4.589,-3.1699,0.9471,1.4296,0.206,"(5, 9, 17)",upperarm,3
Extra Trees Regressor,1.4192,3.4617,1.8579,0.4797,0.5696,0.4479,0.272,"(5, 10, 12)",upperarm,3
Light Gradient Boosting Machine,1.4824,3.9697,1.9904,0.4039,0.5943,0.476,0.249,"(5, 10, 12)",upperarm,3
Random Forest Regressor,1.492,3.806,1.9481,0.4281,0.5895,0.4652,0.357,"(5, 10, 12)",upperarm,3
Gradient Boosting Regressor,1.6153,4.3606,2.0863,0.3452,0.6255,0.5165,0.295,"(5, 10, 12)",upperarm,3
Decision Tree Regressor,1.8105,6.9154,2.625,-0.0385,0.7682,0.6426,0.22,"(5, 10, 12)",upperarm,3
Linear Regression,1.9944,5.8246,2.4102,0.1272,0.7137,0.6962,0.2,"(5, 10, 12)",upperarm,3
AdaBoost Regressor,2.01,5.6899,2.384,0.1456,0.7343,0.7457,0.235,"(5, 10, 12)",upperarm,3
Bayesian Ridge,2.0193,5.9352,2.4332,0.1108,0.7203,0.7008,0.242,"(5, 10, 12)",upperarm,3
Ridge Regression,2.0597,6.0757,2.4617,0.0902,0.7293,0.7236,0.199,"(5, 10, 12)",upperarm,3
Huber Regressor,2.064,6.4524,2.5349,0.0359,0.7227,0.6841,0.246,"(5, 10, 12)",upperarm,3
K Neighbors Regressor,2.1132,7.073,2.657,-0.0634,0.7545,0.7505,0.22,"(5, 10, 12)",upperarm,3
Dummy Regressor,2.1945,6.7529,2.5952,-0.0101,0.7576,0.8058,0.214,"(5, 10, 12)",upperarm,3
Lasso Regression,2.1954,6.7557,2.5957,-0.0105,0.7576,0.8065,0.198,"(5, 10, 12)",upperarm,3
Lasso Least Angle Regression,2.1954,6.7557,2.5957,-0.0105,0.7576,0.8065,0.23,"(5, 10, 12)",upperarm,3
Elastic Net,2.1958,6.7501,2.5947,-0.0097,0.7569,0.8078,0.198,"(5, 10, 12)",upperarm,3
Orthogonal Matching Pursuit,2.1972,6.7476,2.5942,-0.0094,0.7562,0.8097,0.202,"(5, 10, 12)",upperarm,3
Passive Aggressive Regressor,3.9008,24.4557,4.6915,-2.7422,0.9889,1.6069,0.235,"(5, 10, 12)",upperarm,3
Least Angle Regression,10.6086,399.7771,14.4467,-56.9436,1.362,5.1971,0.184,"(5, 10, 12)",upperarm,3
Extra Trees Regressor,1.3262,3.0998,1.7585,0.5052,0.5487,0.427,0.263,"(5, 10, 13)",upperarm,3
Light Gradient Boosting Machine,1.4133,3.5308,1.8766,0.4363,0.5702,0.4725,0.234,"(5, 10, 13)",upperarm,3
Random Forest Regressor,1.4154,3.4953,1.8664,0.4419,0.5717,0.4467,0.328,"(5, 10, 13)",upperarm,3
Gradient Boosting Regressor,1.5321,3.8784,1.9671,0.3807,0.6018,0.492,0.294,"(5, 10, 13)",upperarm,3
Decision Tree Regressor,1.7727,6.6589,2.5717,-0.0662,0.7537,0.6394,0.226,"(5, 10, 13)",upperarm,3
Linear Regression,1.9304,5.4843,2.3409,0.1243,0.7024,0.6699,0.212,"(5, 10, 13)",upperarm,3
Bayesian Ridge,1.9495,5.56,2.357,0.1124,0.7074,0.6726,0.194,"(5, 10, 13)",upperarm,3
AdaBoost Regressor,1.9908,5.4796,2.3404,0.1253,0.7348,0.7636,0.229,"(5, 10, 13)",upperarm,3
Huber Regressor,1.9933,5.9636,2.4414,0.0482,0.7099,0.6608,0.22,"(5, 10, 13)",upperarm,3
Ridge Regression,1.9944,5.6949,2.3858,0.0911,0.7173,0.6951,0.21,"(5, 10, 13)",upperarm,3
K Neighbors Regressor,2.0275,6.4414,2.5373,-0.029,0.7395,0.7255,0.21,"(5, 10, 13)",upperarm,3
Dummy Regressor,2.1081,6.2815,2.5061,-0.0024,0.7457,0.7557,0.198,"(5, 10, 13)",upperarm,3
Lasso Regression,2.1085,6.2827,2.5063,-0.0026,0.7457,0.756,0.204,"(5, 10, 13)",upperarm,3
Lasso Least Angle Regression,2.1085,6.2827,2.5063,-0.0026,0.7457,0.756,0.208,"(5, 10, 13)",upperarm,3
Elastic Net,2.1106,6.2871,2.5072,-0.0033,0.7458,0.7573,0.218,"(5, 10, 13)",upperarm,3
Orthogonal Matching Pursuit,2.1169,6.2898,2.5077,-0.0038,0.7459,0.7606,0.206,"(5, 10, 13)",upperarm,3
Passive Aggressive Regressor,2.6185,11.0264,3.3054,-0.7607,0.9208,0.9407,0.22,"(5, 10, 13)",upperarm,3
Least Angle Regression,4.0265,27.7279,5.166,-3.4141,0.9862,1.6928,0.203,"(5, 10, 13)",upperarm,3
Extra Trees Regressor,1.3443,3.2848,1.8113,0.4991,0.5474,0.4015,0.243,"(5, 10, 15)",upperarm,3
Random Forest Regressor,1.4241,3.6127,1.8997,0.4487,0.5692,0.4273,0.33,"(5, 10, 15)",upperarm,3
Light Gradient Boosting Machine,1.4272,3.7239,1.9283,0.4314,0.5686,0.4427,0.221,"(5, 10, 15)",upperarm,3
Gradient Boosting Regressor,1.5538,4.1402,2.0333,0.3682,0.6046,0.4701,0.296,"(5, 10, 15)",upperarm,3
Decision Tree Regressor,1.8885,7.301,2.6974,-0.1122,0.7837,0.6145,0.207,"(5, 10, 15)",upperarm,3
Linear Regression,1.9286,5.6325,2.3722,0.1424,0.6982,0.6529,0.196,"(5, 10, 15)",upperarm,3
AdaBoost Regressor,1.9316,5.3861,2.32,0.1795,0.7063,0.6987,0.205,"(5, 10, 15)",upperarm,3
Bayesian Ridge,1.9652,5.7524,2.3973,0.1244,0.704,0.6693,0.197,"(5, 10, 15)",upperarm,3
Huber Regressor,2.0085,6.1821,2.4845,0.059,0.7106,0.6614,0.204,"(5, 10, 15)",upperarm,3
Ridge Regression,2.0148,5.9063,2.4294,0.1008,0.7137,0.698,0.198,"(5, 10, 15)",upperarm,3
K Neighbors Regressor,2.036,6.5701,2.5622,-0.0033,0.7228,0.7271,0.216,"(5, 10, 15)",upperarm,3
Orthogonal Matching Pursuit,2.1345,6.4364,2.5363,0.0202,0.7385,0.7701,0.207,"(5, 10, 15)",upperarm,3
Elastic Net,2.1704,6.6059,2.5694,-0.0052,0.7463,0.7925,0.199,"(5, 10, 15)",upperarm,3
Lasso Regression,2.1718,6.613,2.5708,-0.0063,0.7465,0.7931,0.218,"(5, 10, 15)",upperarm,3
Lasso Least Angle Regression,2.1718,6.613,2.5708,-0.0063,0.7465,0.7931,0.216,"(5, 10, 15)",upperarm,3
Dummy Regressor,2.1718,6.613,2.5708,-0.0063,0.7465,0.7931,0.221,"(5, 10, 15)",upperarm,3
Passive Aggressive Regressor,2.4949,10.2995,3.091,-0.5482,0.7859,0.833,0.22,"(5, 10, 15)",upperarm,3
Least Angle Regression,12.9405,488.7608,16.6903,-74.1667,1.4734,5.6469,0.234,"(5, 10, 15)",upperarm,3
Extra Trees Regressor,1.3379,3.1245,1.7659,0.4767,0.5418,0.4287,0.269,"(5, 10, 16)",upperarm,3
Random Forest Regressor,1.3997,3.4031,1.8412,0.4313,0.5599,0.4421,0.337,"(5, 10, 16)",upperarm,3
Light Gradient Boosting Machine,1.4094,3.452,1.8541,0.4213,0.5574,0.4691,0.226,"(5, 10, 16)",upperarm,3
Gradient Boosting Regressor,1.5434,3.9307,1.9804,0.3422,0.5998,0.5002,0.315,"(5, 10, 16)",upperarm,3
Decision Tree Regressor,1.7691,6.514,2.5413,-0.0885,0.7434,0.6209,0.228,"(5, 10, 16)",upperarm,3
Linear Regression,1.838,5.0404,2.243,0.156,0.6743,0.6432,0.221,"(5, 10, 16)",upperarm,3
Bayesian Ridge,1.8441,5.0847,2.2531,0.149,0.6761,0.6398,0.185,"(5, 10, 16)",upperarm,3
Ridge Regression,1.8822,5.2239,2.2836,0.1267,0.685,0.6552,0.222,"(5, 10, 16)",upperarm,3
AdaBoost Regressor,1.898,5.0711,2.2505,0.1509,0.7014,0.7265,0.227,"(5, 10, 16)",upperarm,3
Huber Regressor,1.8985,5.5844,2.3608,0.067,0.6854,0.6341,0.204,"(5, 10, 16)",upperarm,3
K Neighbors Regressor,1.9394,5.9269,2.4323,0.0066,0.7056,0.6964,0.204,"(5, 10, 16)",upperarm,3
Dummy Regressor,2.0587,6.009,2.4501,-0.0043,0.7259,0.7632,0.209,"(5, 10, 16)",upperarm,3
Lasso Regression,2.0593,6.0111,2.4505,-0.0047,0.726,0.7636,0.206,"(5, 10, 16)",upperarm,3
Lasso Least Angle Regression,2.0593,6.0111,2.4505,-0.0047,0.726,0.7636,0.226,"(5, 10, 16)",upperarm,3
Elastic Net,2.061,6.0083,2.4498,-0.0041,0.7256,0.7651,0.214,"(5, 10, 16)",upperarm,3
Orthogonal Matching Pursuit,2.063,6.0054,2.4491,-0.0033,0.7251,0.7668,0.21,"(5, 10, 16)",upperarm,3
Passive Aggressive Regressor,3.0029,14.9846,3.6114,-1.5126,0.8474,1.1275,0.209,"(5, 10, 16)",upperarm,3
Least Angle Regression,3.8509,34.2111,5.0741,-4.5591,0.9646,1.7107,0.217,"(5, 10, 16)",upperarm,3
Extra Trees Regressor,1.4003,3.426,1.8437,0.4693,0.5628,0.4346,0.258,"(5, 10, 17)",upperarm,3
Light Gradient Boosting Machine,1.4658,3.7772,1.9345,0.4148,0.5811,0.4647,0.24,"(5, 10, 17)",upperarm,3
Random Forest Regressor,1.4685,3.746,1.9264,0.4195,0.5836,0.4481,0.33,"(5, 10, 17)",upperarm,3
Gradient Boosting Regressor,1.6041,4.1809,2.0361,0.3527,0.6142,0.4967,0.299,"(5, 10, 17)",upperarm,3
Decision Tree Regressor,1.8057,7.0644,2.6497,-0.1094,0.7753,0.6076,0.235,"(5, 10, 17)",upperarm,3
Linear Regression,1.9119,5.5475,2.3473,0.14,0.6922,0.6272,0.218,"(5, 10, 17)",upperarm,3
Bayesian Ridge,1.951,5.6776,2.3759,0.1193,0.7026,0.6462,0.207,"(5, 10, 17)",upperarm,3
Ridge Regression,2.0183,5.8504,2.4122,0.0929,0.7169,0.6938,0.203,"(5, 10, 17)",upperarm,3
Huber Regressor,2.034,6.1468,2.4714,0.0488,0.713,0.6734,0.238,"(5, 10, 17)",upperarm,3
AdaBoost Regressor,2.0504,5.7154,2.3844,0.1123,0.7385,0.785,0.221,"(5, 10, 17)",upperarm,3
K Neighbors Regressor,2.0678,6.5247,2.5508,-0.0195,0.7357,0.7275,0.222,"(5, 10, 17)",upperarm,3
Elastic Net,2.1681,6.4653,2.5359,-0.0016,0.7471,0.7874,0.201,"(5, 10, 17)",upperarm,3
Orthogonal Matching Pursuit,2.1682,6.4624,2.5352,-0.001,0.7466,0.7889,0.212,"(5, 10, 17)",upperarm,3
Lasso Regression,2.1685,6.4735,2.5377,-0.0031,0.7478,0.7861,0.2,"(5, 10, 17)",upperarm,3
Lasso Least Angle Regression,2.1685,6.4735,2.5377,-0.0031,0.7478,0.7861,0.223,"(5, 10, 17)",upperarm,3
Dummy Regressor,2.1717,6.5023,2.5435,-0.0079,0.7495,0.7842,0.219,"(5, 10, 17)",upperarm,3
Passive Aggressive Regressor,2.988,13.8191,3.6472,-1.1256,0.9438,1.1929,0.222,"(5, 10, 17)",upperarm,3
Least Angle Regression,7.3057,133.3291,9.4646,-19.9757,1.2238,3.1259,0.208,"(5, 10, 17)",upperarm,3
Extra Trees Regressor,1.3046,3.051,1.741,0.4923,0.5403,0.4469,0.286,"(5, 12, 13)",upperarm,3
Random Forest Regressor,1.3768,3.3576,1.8268,0.44,0.5621,0.4645,0.364,"(5, 12, 13)",upperarm,3
Light Gradient Boosting Machine,1.3963,3.4402,1.851,0.4237,0.5659,0.4997,0.256,"(5, 12, 13)",upperarm,3
Gradient Boosting Regressor,1.5389,4.0052,1.9959,0.3332,0.6043,0.5196,0.293,"(5, 12, 13)",upperarm,3
Decision Tree Regressor,1.697,6.225,2.4858,-0.0449,0.7219,0.6419,0.218,"(5, 12, 13)",upperarm,3
Huber Regressor,1.9189,5.9481,2.4302,0.015,0.6897,0.643,0.227,"(5, 12, 13)",upperarm,3
AdaBoost Regressor,1.9212,5.2971,2.2971,0.1174,0.7164,0.7761,0.221,"(5, 12, 13)",upperarm,3
Linear Regression,1.922,5.5043,2.3402,0.0844,0.6926,0.7095,0.2,"(5, 12, 13)",upperarm,3
Ridge Regression,1.9602,5.7138,2.3831,0.0527,0.7055,0.7216,0.193,"(5, 12, 13)",upperarm,3
K Neighbors Regressor,1.9751,6.2801,2.4985,-0.0434,0.7187,0.7434,0.209,"(5, 12, 13)",upperarm,3
Bayesian Ridge,1.9761,5.7935,2.4001,0.039,0.7092,0.7322,0.201,"(5, 12, 13)",upperarm,3
Orthogonal Matching Pursuit,2.0225,5.9611,2.4353,0.0106,0.7182,0.7617,0.211,"(5, 12, 13)",upperarm,3
Lasso Regression,2.0277,6.0531,2.454,-0.0044,0.7208,0.7661,0.225,"(5, 12, 13)",upperarm,3
Lasso Least Angle Regression,2.0277,6.0531,2.454,-0.0044,0.7208,0.7661,0.203,"(5, 12, 13)",upperarm,3
Dummy Regressor,2.0277,6.0531,2.454,-0.0044,0.7208,0.7661,0.234,"(5, 12, 13)",upperarm,3
Elastic Net,2.0284,6.0567,2.4547,-0.0049,0.7211,0.7664,0.214,"(5, 12, 13)",upperarm,3
Passive Aggressive Regressor,2.4208,9.8439,3.043,-0.6263,0.8169,0.8678,0.229,"(5, 12, 13)",upperarm,3
Least Angle Regression,6.2483,93.7273,8.0456,-14.1862,1.1397,2.9382,0.24,"(5, 12, 13)",upperarm,3
Extra Trees Regressor,1.3315,3.2893,1.8103,0.4666,0.5552,0.4275,0.28,"(5, 12, 15)",upperarm,3
Random Forest Regressor,1.4042,3.6088,1.8964,0.4139,0.575,0.4493,0.332,"(5, 12, 15)",upperarm,3
Light Gradient Boosting Machine,1.4489,3.824,1.9519,0.3807,0.5857,0.4828,0.222,"(5, 12, 15)",upperarm,3
Gradient Boosting Regressor,1.547,4.2001,2.0448,0.3213,0.6163,0.4972,0.286,"(5, 12, 15)",upperarm,3
Decision Tree Regressor,1.7745,6.7536,2.5936,-0.0974,0.7566,0.6023,0.194,"(5, 12, 15)",upperarm,3
K Neighbors Regressor,1.9349,6.1112,2.4692,0.0041,0.7153,0.7095,0.218,"(5, 12, 15)",upperarm,3
AdaBoost Regressor,1.9467,5.491,2.3413,0.1092,0.7299,0.7745,0.227,"(5, 12, 15)",upperarm,3
Linear Regression,1.9472,5.7307,2.3918,0.0712,0.7083,0.6888,0.201,"(5, 12, 15)",upperarm,3
Huber Regressor,1.9607,6.1359,2.4735,0.0073,0.7049,0.6335,0.212,"(5, 12, 15)",upperarm,3
Ridge Regression,1.9868,5.9003,2.4269,0.0437,0.7181,0.7093,0.215,"(5, 12, 15)",upperarm,3
Bayesian Ridge,1.9968,5.9708,2.4414,0.0321,0.7204,0.7202,0.202,"(5, 12, 15)",upperarm,3
Lasso Regression,2.0573,6.2406,2.4961,-0.0104,0.7324,0.7594,0.206,"(5, 12, 15)",upperarm,3
Lasso Least Angle Regression,2.0573,6.2406,2.4961,-0.0104,0.7324,0.7594,0.238,"(5, 12, 15)",upperarm,3
Dummy Regressor,2.0573,6.2406,2.4961,-0.0104,0.7324,0.7594,0.216,"(5, 12, 15)",upperarm,3
Elastic Net,2.0595,6.2412,2.4962,-0.0105,0.7328,0.7607,0.232,"(5, 12, 15)",upperarm,3
Orthogonal Matching Pursuit,2.0627,6.2376,2.4955,-0.01,0.7329,0.7624,0.218,"(5, 12, 15)",upperarm,3
Passive Aggressive Regressor,4.2556,27.3606,4.9957,-3.3567,1.0758,1.9515,0.205,"(5, 12, 15)",upperarm,3
Least Angle Regression,9.7231,198.9201,12.4069,-31.5936,1.3745,4.2209,0.187,"(5, 12, 15)",upperarm,3
Extra Trees Regressor,1.3336,3.1567,1.7749,0.4872,0.5513,0.4372,0.266,"(5, 12, 16)",upperarm,3
Random Forest Regressor,1.4258,3.5683,1.887,0.4211,0.5765,0.4633,0.363,"(5, 12, 16)",upperarm,3
Light Gradient Boosting Machine,1.4295,3.6241,1.9025,0.4116,0.5767,0.4888,0.237,"(5, 12, 16)",upperarm,3
Gradient Boosting Regressor,1.5771,4.1904,2.0441,0.3208,0.6208,0.525,0.304,"(5, 12, 16)",upperarm,3
Decision Tree Regressor,1.8276,7.1252,2.6634,-0.1592,0.785,0.6828,0.224,"(5, 12, 16)",upperarm,3
Linear Regression,1.8482,5.1808,2.2739,0.1606,0.6793,0.6774,0.212,"(5, 12, 16)",upperarm,3
Bayesian Ridge,1.8693,5.3587,2.3129,0.1312,0.6913,0.6635,0.213,"(5, 12, 16)",upperarm,3
Huber Regressor,1.8807,5.7039,2.3856,0.0768,0.6885,0.6262,0.217,"(5, 12, 16)",upperarm,3
Ridge Regression,1.8865,5.4533,2.3331,0.1165,0.6972,0.6662,0.205,"(5, 12, 16)",upperarm,3
AdaBoost Regressor,1.9654,5.4354,2.3301,0.1175,0.735,0.7792,0.214,"(5, 12, 16)",upperarm,3
K Neighbors Regressor,1.9961,6.4053,2.5283,-0.0392,0.7322,0.7265,0.218,"(5, 12, 16)",upperarm,3
Lasso Regression,2.0607,6.2089,2.4899,-0.0055,0.7358,0.762,0.216,"(5, 12, 16)",upperarm,3
Elastic Net,2.0607,6.2106,2.4903,-0.0057,0.7358,0.7621,0.211,"(5, 12, 16)",upperarm,3
Lasso Least Angle Regression,2.0607,6.2089,2.4899,-0.0055,0.7358,0.762,0.219,"(5, 12, 16)",upperarm,3
Dummy Regressor,2.0607,6.2089,2.4899,-0.0055,0.7358,0.762,0.216,"(5, 12, 16)",upperarm,3
Orthogonal Matching Pursuit,2.0608,6.2142,2.4911,-0.0065,0.7366,0.7598,0.2,"(5, 12, 16)",upperarm,3
Passive Aggressive Regressor,2.7325,11.8987,3.3253,-0.9184,0.8961,1.2373,0.234,"(5, 12, 16)",upperarm,3
Least Angle Regression,6.0015,110.9521,8.0747,-19.265,1.1355,2.7229,0.214,"(5, 12, 16)",upperarm,3
Extra Trees Regressor,1.4595,3.6608,1.9114,0.4297,0.588,0.4756,0.269,"(5, 12, 17)",upperarm,3
Light Gradient Boosting Machine,1.4879,3.8313,1.9553,0.4012,0.5958,0.5002,0.24,"(5, 12, 17)",upperarm,3
Random Forest Regressor,1.5258,3.9713,1.991,0.382,0.607,0.487,0.346,"(5, 12, 17)",upperarm,3
Gradient Boosting Regressor,1.656,4.4683,2.1125,0.3054,0.6392,0.538,0.289,"(5, 12, 17)",upperarm,3
Linear Regression,1.962,5.7424,2.3958,0.108,0.7102,0.6845,0.218,"(5, 12, 17)",upperarm,3
Bayesian Ridge,1.9859,5.8962,2.4272,0.0854,0.7175,0.6813,0.219,"(5, 12, 17)",upperarm,3
Decision Tree Regressor,2.012,8.2789,2.8698,-0.2938,0.8354,0.7162,0.191,"(5, 12, 17)",upperarm,3
Huber Regressor,2.0173,6.3297,2.5147,0.018,0.7141,0.6583,0.215,"(5, 12, 17)",upperarm,3
Ridge Regression,2.0306,6.0429,2.4571,0.063,0.729,0.7103,0.216,"(5, 12, 17)",upperarm,3
AdaBoost Regressor,2.0536,5.8499,2.4172,0.093,0.7555,0.7872,0.219,"(5, 12, 17)",upperarm,3
K Neighbors Regressor,2.1155,6.9785,2.6411,-0.0863,0.7623,0.7684,0.207,"(5, 12, 17)",upperarm,3
Orthogonal Matching Pursuit,2.1224,6.4764,2.5431,-0.0026,0.7502,0.7649,0.215,"(5, 12, 17)",upperarm,3
Lasso Regression,2.124,6.4724,2.5425,-0.0021,0.7497,0.7665,0.213,"(5, 12, 17)",upperarm,3
Lasso Least Angle Regression,2.124,6.4724,2.5425,-0.0021,0.7497,0.7665,0.216,"(5, 12, 17)",upperarm,3
Dummy Regressor,2.124,6.4724,2.5425,-0.0021,0.7497,0.7665,0.22,"(5, 12, 17)",upperarm,3
Elastic Net,2.1242,6.4776,2.5435,-0.0029,0.7499,0.7666,0.213,"(5, 12, 17)",upperarm,3
Passive Aggressive Regressor,2.3554,9.6223,3.0257,-0.4897,0.7655,0.7203,0.206,"(5, 12, 17)",upperarm,3
Least Angle Regression,6.328,97.5045,8.2315,-13.9583,1.1691,2.9237,0.215,"(5, 12, 17)",upperarm,3
Extra Trees Regressor,1.2448,2.7992,1.67,0.5235,0.5268,0.4164,0.247,"(5, 13, 15)",upperarm,3
Random Forest Regressor,1.2888,3.0037,1.7309,0.4885,0.543,0.4306,0.334,"(5, 13, 15)",upperarm,3
Light Gradient Boosting Machine,1.3028,3.1341,1.769,0.4646,0.548,0.4508,0.251,"(5, 13, 15)",upperarm,3
Gradient Boosting Regressor,1.4465,3.6715,1.9121,0.3772,0.5825,0.4795,0.31,"(5, 13, 15)",upperarm,3
Decision Tree Regressor,1.665,6.0298,2.4474,-0.0259,0.7223,0.6289,0.228,"(5, 13, 15)",upperarm,3
AdaBoost Regressor,1.8089,4.8141,2.1923,0.1795,0.6884,0.695,0.218,"(5, 13, 15)",upperarm,3
Linear Regression,1.875,5.3125,2.3028,0.0938,0.6898,0.6702,0.19,"(5, 13, 15)",upperarm,3
Huber Regressor,1.8941,5.572,2.3568,0.0528,0.6835,0.6389,0.213,"(5, 13, 15)",upperarm,3
Ridge Regression,1.9146,5.4555,2.3333,0.0708,0.6982,0.6943,0.185,"(5, 13, 15)",upperarm,3
K Neighbors Regressor,1.9236,5.9568,2.4389,-0.0166,0.705,0.7114,0.207,"(5, 13, 15)",upperarm,3
Bayesian Ridge,1.9275,5.5384,2.3512,0.0566,0.7017,0.7055,0.22,"(5, 13, 15)",upperarm,3
Elastic Net,2.0039,5.8607,2.418,0.0034,0.7165,0.7507,0.203,"(5, 13, 15)",upperarm,3
Dummy Regressor,2.0106,5.9157,2.4293,-0.0059,0.7183,0.7547,0.212,"(5, 13, 15)",upperarm,3
Lasso Regression,2.0114,5.917,2.4296,-0.0062,0.7185,0.7552,0.214,"(5, 13, 15)",upperarm,3
Lasso Least Angle Regression,2.0114,5.917,2.4296,-0.0062,0.7185,0.7552,0.2,"(5, 13, 15)",upperarm,3
Orthogonal Matching Pursuit,2.0138,5.909,2.428,-0.005,0.7186,0.7558,0.215,"(5, 13, 15)",upperarm,3
Passive Aggressive Regressor,2.78,12.8075,3.2955,-1.3135,0.8443,1.2047,0.224,"(5, 13, 15)",upperarm,3
Least Angle Regression,22.6102,6019.9044,28.8199,-1114.1074,1.2429,10.9839,0.199,"(5, 13, 15)",upperarm,3
Extra Trees Regressor,1.2687,2.7234,1.6471,0.5284,0.5201,0.4378,0.259,"(5, 13, 16)",upperarm,3
Light Gradient Boosting Machine,1.3243,3.0153,1.7341,0.4755,0.5422,0.4681,0.241,"(5, 13, 16)",upperarm,3
Random Forest Regressor,1.3287,3.0351,1.7391,0.474,0.5379,0.4524,0.342,"(5, 13, 16)",upperarm,3
Gradient Boosting Regressor,1.485,3.619,1.8991,0.3745,0.585,0.5054,0.321,"(5, 13, 16)",upperarm,3
Decision Tree Regressor,1.6347,5.7038,2.386,0.0119,0.7027,0.6422,0.23,"(5, 13, 16)",upperarm,3
AdaBoost Regressor,1.8179,4.7125,2.1685,0.1842,0.6807,0.7068,0.206,"(5, 13, 16)",upperarm,3
Linear Regression,1.88,5.1946,2.276,0.1029,0.6785,0.6851,0.209,"(5, 13, 16)",upperarm,3
Huber Regressor,1.8915,5.5799,2.3578,0.0383,0.6761,0.6426,0.227,"(5, 13, 16)",upperarm,3
Bayesian Ridge,1.9011,5.324,2.3037,0.0816,0.685,0.6905,0.22,"(5, 13, 16)",upperarm,3
Ridge Regression,1.9123,5.3761,2.3149,0.0727,0.6886,0.6956,0.2,"(5, 13, 16)",upperarm,3
K Neighbors Regressor,1.9654,6.1066,2.4675,-0.056,0.716,0.7261,0.216,"(5, 13, 16)",upperarm,3
Orthogonal Matching Pursuit,1.9864,5.7193,2.3881,0.013,0.7105,0.7336,0.238,"(5, 13, 16)",upperarm,3
Lasso Regression,2.0011,5.8246,2.4102,-0.0054,0.713,0.7506,0.21,"(5, 13, 16)",upperarm,3
Elastic Net,2.0011,5.8246,2.4102,-0.0054,0.713,0.7506,0.218,"(5, 13, 16)",upperarm,3
Lasso Least Angle Regression,2.0011,5.8246,2.4102,-0.0054,0.713,0.7506,0.203,"(5, 13, 16)",upperarm,3
Dummy Regressor,2.0011,5.8246,2.4102,-0.0054,0.713,0.7506,0.199,"(5, 13, 16)",upperarm,3
Passive Aggressive Regressor,2.4489,10.1925,3.1126,-0.7373,0.8123,0.93,0.214,"(5, 13, 16)",upperarm,3
Least Angle Regression,2.9993,17.5218,3.8264,-1.8897,0.8641,1.2465,0.208,"(5, 13, 16)",upperarm,3
Extra Trees Regressor,1.3622,3.222,1.7903,0.4693,0.5521,0.4555,0.293,"(5, 13, 17)",upperarm,3
